Itinerario;ID;Livello;Genitore;Titolo;Sottotitolo; Testo_storia;Testo_Audio_Cicerone;Immagine;Tipo_Card;latitudine;longitudine;mappaCartella
Conca reatina;2 partenza;Paese;2;0, Rieti;;;;;Principale;42,402692;12,860917;mappe-offline/conca_reatina
Conca reatina;2,1;Paese;2;1. Fonte Colombo;Sinai Francescano;;;;Principale;42,378844;12,821361;mappe-offline/conca_reatina
Conca reatina;INF2.1;Info / Contatto;2,1;Santuario fonte Colombo;Orari;📍 Indirizzo:via Fonte Colombo, 40<br>📞 Telefono: +39 0746 210125<br>🕒 Orari:Tutti i giorni compresi i Festivi dalle ore 9:00 alle 19:00<br>🌐 Sito web: https://www.santuarivallesanta.com/santuari/fonte-colombo;;;Info / Contatto;;;
Conca reatina;2,1,1;Monumento;2,1;1.1 Convento di Fonte Colombo;;"Il ‘Sinai francescano’ è il colle, coperto da un bosco di lecci, in cui Francesco nel
1223 si ritirò a digiunare per 40 giorni, dettando la Regola dell’Ordine. Alla
sinistra della chiesa (con portico rifatto nel 1940 e annesso convento, in parte
quattrocentesco) si scende al Sacro Speco, la grotta nel dirupo dove il santo si
rifugiò in preghiera. Prima di affrontare la ripida scalinata si incontra un
minuscolo oratorio con affreschi duecenteschi (si riconosce la figura di Maria
Maddalena, protettrice dei penitenti); la tradizione dice che la croce tau dipinta
nel vano della finestrella a sinistra sia dovuta alla mano di Francesco";;immagini/conca_colombo.webp;Dettaglio;;;
Conca reatina;2,1,1,1;Opera;2,1,1;La chiesa;;"Notevole è l’affresco della lunetta del portale del XV sec., che rappresenta al centro la Madonna con il Bam­bino ed ai lati s. Francesco e s. Lu­dovico di Tolosa. La chiesa fu costruita nella seconda metà del XIII sec., ingrandita nel XV, consacrata nel 1450 e dedicata a s. Francesco e a s. Bernardino da Siena.

Subito a destra notiamo una scultura lignea del XVII sec., s. Francesco in meditazione ai piedi del Crocifisso. Poco oltre un’altra scultura rappresenta l’approvazione della Regola da parte di Cristo stesso, opera è di fra Giovanni da Pisa (1645).

Dietro l’altare, originale del sec. XV, il coro ligneo usato dai Frati per la preghiera in co­mune.
Una copia ingrandita del testo della Regola e una Madonna col Bambino della scuola di Antoniazzo Romano (sec. XV) recentemente restaurata, riempiono la parete sinistra.

Le vetrate, del Picchiarini su disegno di Duilio Cambellotti (1926), rappresentano episodi della vita di s. Francesco.";;immagini/conca_colombo_chiesa.webp;Dettaglio;;;
Conca reatina;2,1,1,2;Opera;2,1,1;Il Santuario;;"Il Santuario
Usciamo dalla chiesa, oltrepassando un cancello a sinistra, scendiamo. A destra incontriamo il romitorio abitato da s. Francesco e dai suoi primi compagni, il luogo dove il Santo subì l’operazione agli occhi, e l’antico Convento del XV sec.

Di fronte, subito dopo, la Cappella della Madonna detta comunemente della Madda­le­na, già esistente al tempo di s. Francesco. Nell’angolo della finestra di sinistra il Tau segnato da s. Francesco. Il Tau, già segno biblico di redenzione, è ri­preso da s. Francesco come suo sigillo. Vi ve­deva la croce di Cristo.";;immagini/conca_colombo_santuario.webp;Dettaglio;;;
Conca reatina;2,1,1,3;Opera;2,1,1;Il Sacro Speco;;"Il Sacro Speco
Per una ripida scalinata si giunge al Sacro Speco, dove s. Francesco ricevette, se­condo la tradizione, la Regola dei Frati Minori.
Ci si trova davanti alla Cappella di s. Mi­chele, l’Arcangelo tanto venerato dal Santo. Continuando la discesa, si entra in una fenditura della roccia dove s. Francesco si im­mergeva nella intimità con Dio. Risalendo, arriviamo al luogo del leccio do­ve, secondo la tradizione, apparve Nostro Si­gnore per confermare la Regola.";;immagini/conca_colombo_speco.webp;Dettaglio;;;
Conca reatina;2,1,1,4;Opera;2,1,1;Il Chiostro;;"Il Chiostro
Esso si mostra irregolare nella forma: collega infatti i vari ambienti della vita comunitaria dei frati, ambienti sviluppatisi in epoche diverse. Sul lato più alto della costruzione riconosciamo una sezione lasciata a pietre a “facciavista”: si tratta dell’antica casa colonica che s. Francesco trovò sul Monte Rainiero, insieme alla cappella della Madonna e al Romitorio.";;immagini/conca_colombo_chiostro.webp;Dettaglio;;;
Conca reatina;2,2;Paese;2;2.Cottanello;;Arroccato su una collina ricca di olivi e circondato da un panorama verdeggiante, Cottanello conserva ancora l’aspetto di un antico borgo medievale. La Porta del Regno, ricostruita nel 1572, accoglie ancora oggi chi entra e s’inoltra tra i vicoli stretti che conducono fin sopra la bella piazzetta con la Chiesa parrocchiale di Sant’Andrea Apostolo, patrono di Cottanello.;;immagini/conca_cottanello.webp;Principale;42,404611;12,684139;mappe-offline/conca_reatina
Conca reatina;INF2,2;Info / Contatto;2,2;Cottanello;PRENOTAZIONE OBBLIGATORIA;"📍 Indirizzo:Via Umberto I, 5<br>📞 Telefono:+39 0746.66.122 | 0746.66.129 | 348.32.91.022 br>🕒 domenica mattina dalle 9.30 alle 12.00
È comunque possibile telefonare per concordare altri orari di visita<br>🌐";;;Info / Contatto;;;
Conca reatina;2,2,1;Monumento;2,2;2_1.Villa romana;;"In località Collesecco
sono venuti alla luce resti di una rustica villa romana, incentrata sulla
produzione di colture specializzate (vite e olivo) ma con tracce di ricchi mosaici
pavimentali.";"La planimetria, piuttosto articolata, evidenzia una duplice destinazione d'uso: un'azienda agricola a conduzione schiavistica attrezzata per la produzione di prodotti alimentari, e una residenza di campagna di tipo padronale, abbellita da decorazioni scultoree, terrecotte architettoniche e pavimenti musivi, ottimamente conservati, realizzati a mosaico geometrico con calcare locale e con il marmo rosso di Cottanello[4]. Una delle soglie presenta inserti figurati con motivi vegetali, un'altra raffigura una coppia di gallinacci. Le pareti sono rivestite di intonaco dipinto; sono evidenti alcuni resti della decorazione fittile. Il lavoro di scavo ha inoltre restituito 184 frammenti di terrecotte architettoniche tipo antefisse, tegole di gronda decorate, lastre di sima, di coronamento e di rivestimento, gocciolatoi, ecc.[5]

La villa rientra nello schema classico della Domus ad atrio. Sono stati identificati i seguenti ambienti:

l'atrio è una grande sala con il pavimento a mosaico a crocette bianche su fondo nero; è un'architettura di tipo tuscanico; l'acqua piovana si raccoglieva nell'impluvium quadrangolare con fondo piatto in opus spicatum, e da qui veniva distribuita agli ambienti termali attigui mediante tubature e fognali
il tablino, sala di passaggio fra l'atrio e il peristilio
alcuni cubicoli adiacenti al tablino con pavimento a mosaico
il peristilio, o cortile interno aperto circondato da un portico a colonne
il triclinio estivo, o sala da pranzo, con pavimento in mosaico bianco e nero; aveva aperture oggi in parte murate
tre ambienti sul lato meridionale del peristilio, sale e cucina, un tempo comunicanti con l'atrio
il frigidario, o sala con vasca per il bagno freddo
il calidario, o stanza riscaldata, a forma rettangolare, con abside nel lato minore
il tepidario, sala vicino al calidario riservata al bagno tiepido o al bagno di vapore
il prefurnio è la stanza in posizione centrale dove si trova l'apparecchiatura di riscaldamento dell'acqua
il criptoportico monumentale, indagato solo per circa 36 m., è situato sotto il piano di calpestio e sembra attraversare gran parte della villa; è coperto da una volta a botte; mantiene tuttora un tasso di umidità e una temperatura costanti; probabilmente era usato come magazzino
Altri ambienti ad uso termale o di servizio sono meno riconoscibili a causa di numerosi rifacimenti subiti dalle murature, costruite in pietra calcare locale o rossa tipica di Cottanello.";immagini/conca_villa.webp;Dettaglio;;;
Conca reatina;2,2,2;Monumento;2,2;2_2.Eremo san Cataldo;;;"Il complesso è incastonato nella roccia e poggia su una sostruzione formata da tre archi a tutto sesto. Davanti si trova la stretta scalinata che sale verso l’eremo, a circa 10 metri d’altezza affacciata verso la ripida vallata del torrente Aia.
Il cuore del luogo sacro è al centro della struttura, dove si trova la chiesetta. Nella parte superiore troveremo solo un campanile a vela con una piccola campana; qui vi accoglierà un magnifico panorama verso Cottanello e la vallata sottostante.

L’ambiente interno è mistico e di assoluto fascino antico. Oltre al dipinto del Cristo in trono possiamo ammirare il pregevole affresco del XII secolo “Il Redentore Benedicente” visibile sulla parete sinistra della chiesetta. Affreschi realizzati in epoche successive decorano altre zone della chiesa tra cui: una “Madonna con Bambino”, “Adamo ed Eva nel Paradiso Terrestre” (volta a crociera), una “Vergine col Bambino” risalente al 1444. Nella parete destra dell’abside è presente l’affresco raffigurante Sant’Agostino e San Tommaso d’Aquino. Al centro dell’abside si nota l’altare di marmo rosso di Cottanello. Un altro ambiente collegato alla piccola chiesa da un arco è sprovvisto del tetto e di alcune sezioni delle pareti. Purtroppo alcune opere pittoriche sono andate perdute anche a causa delle esplosioni avvenute durante la Seconda Guerra Mondiale. Nonostante ciò, rimane intatto il magnetismo mistico dell’eremo di San Cataldo, a distanza di oltre 1000 anni.

Nel 2005 grazie alla Fondazione Varrone di Rieti, con la supervisione della Soprintendenza dei Beni Artistici, Storici ed Etnoantropologici del Lazio, la struttura tornò all’aspetto originale, restaurando anche il dipinto “Cristo in trono, Apostoli e Santi” di pregevole valore artistico.";immagini/conca_cataldo.webp;Dettaglio;;;
Conca reatina;2,3;Paese;2;3.Greccio;;"Greccio (m 705, ab. 1500
circa), borgo medievale arroccato alle pendici del monte Lacerone, con resti di
mura e torri che presidiavano il castro (XI secolo). Sopra l’ariosa piazza Roma
svetta la collegiata di S. Michele, riedificata alla fine del ’700; l’isolata torre
campanaria venne eretta nel XVII secolo sui resti di una torre medievale. Nelle
strette e suggestive vie del borgo, dove ogni anno rivive il tradizionale presepe
vivente (24 dicembre-6 gennaio), affreschi murali realizzati da artisti italiani e
stranieri raccontano episodi della vita di Francesco.";;immagini/conca_greccio.webp;Principale;42,379444;12,752306;mappe-offline/conca_reatina
Conca reatina;INF2.3;Info / Contatto;2,3;Santuario Greccio;;📍 Indirizzo:viaSan Francesco, 1<br>📞 Tel. +39 0746 750127<br>🕒 Orari:Tutti i giorni compresi i Festivi dalle ore 9:00 alle 19:00<br>🌐 Sito web: https://www.santuarivallesanta.com/santuari/greccio/;;;Info / Contatto;;;
Conca reatina;2,3,1;Monumento;2,3;3_1.Convento di Greccio =;"Orario di apertura del Santuario:
Tutti i giorni, compresi i Festivi, dalle 9:00 alle 18:00 (solo nei mesi di luglio e agosto alle 19:00)";"Aggrappato alla roccia (m 635) e circondato da un bosco di lecci, il convento
sorge sul luogo in cui san Francesco avrebbe per la prima volta rappresentato la
natività (24-25 dicembre 1223), dando origine alla tradizione del presepe.";;immagini/conca_greccio_conv.webp;Principale;;;
Conca reatina;2,3,1,1;Opera;2,3,1;3_2.cappella del Presepe;;"Scavata nella roccia, la cappella del Presepe conserva dietro l’altare un affresco
quattrocentesco di scuola giottesca con la rappresentazione della Natività,
affiancato dalla figura di Maria Maddalena, patrona dei penitenti, e dalla
rievocazione del presepe di Greccio; sulla parete esterna della cappella, S. Giovanni
Battista e Natività è un affresco del Maestro di Fossa (XIV secolo)";;immagini/conca_greccio_presepe.webp;Dettaglio;;;
Conca reatina;2,3,1,2;Opera;2,3,1;3_3.Altri ambienti;;"Si visitano anche
il dormitorio del santo, la duecentesca chiesetta di S. Bonaventura (primo
luogo di culto dedicato a Francesco), l’attiguo oratorio di S. Francesco (il
dipinto del santo piangente è copia dell’originale perduto). Dal dormitorio di S.
Bonaventura, con nude celle di legno, si raggiunge la grotta del beato Giovanni
da Parma (1208 circa-1289), costretto, secondo la tradizione, a ritirarvisi per 32
anni dopo un’accusa di eresia: la vista* spazia su gran parte della Conca reatina.";;immagini/conca_greccio_ambienti.webp;Dettaglio;;;
Conca reatina;2,4;Paese;2;4. La Foresta;Santuario francescano di Santa Maria della Foresta;"Il convento (m 520) sorse nel 1225-32 attorno alla chiesetta di S. Fabiano, dove
Francesco, malato agli occhi, si rifugiò nel 1225 per riposarsi e celarsi ai fedeli.
Secondo la tradizione qui compose il Cantico delle Creature, ispirato dalla bellezza
della natura circostante.";;immagini/conca_laforesta.webp;Principale;42,428583;12,880194;mappe-offline/conca_reatina
Conca reatina;INF2,4;Info / Contatto;2,4;Santuario la Foresta;;📍 Indirizzo:Via Foresta, 30,<br>📞 Tel. +39 0746 200085<br>🕒 Orari:Tutti i giorni 9:00 – 12:00 / 14:30 – 18:30<br>🌐 Sito web: https://www.santuarivallesanta.com/santuari/la-foresta/;;;Info / Contatto;;;
Conca reatina;2,4,1;Monumento;2,4;4_1.Chiesa;;"Alla chiesa si accede per un portico trecentesco. La
costruzione originaria, con resti di affreschi del ’500 nell’abside e sulla parete di
fondo, fu ampliata nel ’600 con l’aggiunta di una seconda chiesa intitolata a S.
Maria della Foresta, così chiamata per i boschi di castagni e lecci che ancora oggi
circondano il convento";;immagini/conca__laforesta_chiesa.webp;Dettaglio;;;
Conca reatina;2,4,2;Monumento;2,4;4_2.Chiostrino;;"Nel chiostrino quattrocentesco si trovano la casetta in
cui visse Francesco e la vasca legata al cosiddetto miracolo del vino: la poca uva
rimasta nella vigna del prete che viveva a S. Fabiano, saccheggiata dalla gente
accorsa per incontrare Francesco, produsse vino a profusione.";;immagini/conca__laforesta_chiostrino.webp;Dettaglio;;;
Conca reatina;2 ritorno;Paese;2;0. Rieti;;;;;;42,402692;12,860917;mappe-offline/conca_reatina
Terminillo;3;Percorso;;3.Terminillo;19-ago;;itinerari/2_Tour_Terminillo_Rieti-immagini-0.JPG, itinerari/2_Tour_Terminillo_Rieti-immagini-1.jpg;;Principale;;;
Terminillo;3 partenza;Paese;3;0, Rieti;;;;;Principale;42,402692;12,860917;mappe-offline/Terminillo
Terminillo;3,1;Paese;3;1.Anello da Pian de' Valli al Rifugio Rinaldi (Escursionisti - E);;"Punto di partenza: L'anello parte dal piazzale principale di Pian De' Valli - Terminillo (circa 1600 m).

Itinerario: Si sale seguendo il sentiero in direzione del Monte Terminilletto (2104 m), sulla cui cima sorge il Rifugio Massimo Rinaldi. La terrazza del rifugio offre una vista spettacolare direttamente verso il Gran Sasso e la piana reatina. Per completare l'anello, si può ridiscendere intercettando le piste da sci o le carrarecce di servizio che riportano agevolmente a Pian de' Valli.

Caratteristiche: Il percorso richiede circa 2 ore e mezza o 3 ore di cammino, con un dislivello di circa 500 metri.";;immagini/terminillo.webp;Principale;42,4529;12,9853;mappe-offline/Terminillo
Terminillo;3,2;Paese;3;2.Leonessa;;"Situato in una conca del versante settentrionale dei monti Reatini, il borgo (m
969, ab. 2200 circa) nacque nel XIII secolo per fusione di alcuni villaggi e
appartenne nel tempo allo Stato della Chiesa, ai Farnese, al Regno di Napoli.
Conserva nel nucleo storico un impianto a vie parallele percorse da bassi portici
di case medievali, con palazzi rinascimentali e barocchi e storiche chiese che ne
fanno una cittadina d’arte, oltre che un paese di montagna frequentato per
vacanze estive e invernali.";;immagini/terminillo_leonessa.webp;Principale;42,5686;12,86;mappe-offline/Terminillo
Terminillo;INF3,2;Info / Contatto;3,2;Leonessa;;📍 Indirizzo:Corso San Giuseppe 48 ,<br>📞 Tel. +39 0746/923212/ 0746/923380<br>🕒 Orari: feriali 10-13  17-20   festivi 10-13 / 14:30 – 18:30<br>🌐 Sito web: https://www.leonessa.org/proloco/proloco.htm;;;Info / Contatto;;;
Terminillo;3,2,1;Monumento;3,2;2_1 Chiesa;;" La tardogotica chiesa di S. Francesco (XV-XVI secolo)
conserva affreschi votivi del XIV-XV secolo e, nella cappella sulla destra, un grande
presepe abruzzese degli inizi del ’500.";;immagini/terminillo_leo_chiesa.webp;Dettaglio;;;
Terminillo;3,2,2;Monumento;3,2;2_2 Convento;;"L’annesso ex convento ospita la sezione
demoantropologica del Museo civico, archivio della cultura popolare dell’alta
Sabina con fotografie, documenti storici e strumenti di lavoro. Piazza VII Aprile,
dove si corre il tradizionale Palio del Velluto (ultima settimana di giugno), ha al
centro la cinquecentesca fontana farnesiana, per sfondo la chiesa di S. Pietro (XV
secolo) e il suo imponente campanile, per quinta il declivio boscoso del monte.";;immagini/terminillo_leo_chiostro.webp;Dettaglio;;;
Terminillo;3,3;Paese;3;3.Labro;;"La Bandiera Arancione del Touring Club Italiano segnala la qualità ambientale di
questo paese (m 628, ab. 400 circa) abbarbicato a piramide alla cima di un colle,
in un panorama diviso tra il vicino lago di Piediluco e il Terminillo. La sua storia
di castello medievale isolato e conteso, edificato nel X-XI secolo dai Nobili, nel
’500 ceduto ai Vitelleschi, si traduce oggi in un nucleo urbano omogeneo e
curato, con antiche case di pietra e viuzze scavalcate da archi. All’ingresso
dell’abitato, il castello Nobili-Vitelleschi (privato ma visitabile a richiesta) è
utilizzato per ricevimenti ed eventi. Nella parte alta del borgo, la cinquecentesca
parrocchiale di S. Maria occupa forse la sala d’armi di un precedente castello,
che i signori di Labro furono costretti a distruggere a fine ’400 per sfuggire a una
scomunica papale. Al margine di un panoramico spazio erboso un torrione
semicircolare è un avanzo della fortificazione.";;immagini/terminillo_labro.webp;Principale;42,5261;12,8003;mappe-offline/Terminillo
Terminillo;INF3,3;Info / Contatto;3,3;Labro;;📍 Indirizzo:Via Garibldi 11 (comune)<br>📞 Tel. +39 0746636134<br>🕒 Orari:<br>🌐 Sito web: ;;;Info / Contatto;;;
Terminillo;3,4;Paese;3;Poggio Bustone;;;;;Principale;42,5044;12,8928;mappe-offline/Terminillo
Terminillo;INF3,4;Info / Contatto;3,4;Convento san Giacomo;;📍 Indirizzo:Piazzale Missioni Francescane,<br>📞 Tel. +39 0746 688916<br>🕒 Orari:Tutti i giorni 08:00 – 13:00  | 15:00 – 18:00<br>🌐 Sito web:https://www.santuarivallesanta.com/santuari/poggio-bustone/;;;Info / Contatto;;;
Terminillo;3,4,1;Monumento;3,4;4. Convento Poggio Bustone;"Orario delle visite al Santuario:
ESTIVO:  08:00 – 13:00  | 15:00 – 19:00";" Il convento , fondato nel 1235-37, comprende una chiesa
risalente alla fine del ’300 dedicata a S. Giacomo Maggiore. Il chiostro conserva
una parte delle colonne del convento originario e resti di affreschi (una
quattrocentesca Madonna col Bambino di scuola umbro-toscana, e Storie del Santo,
del ’600). Un sentiero sale ripido (mezz’ora di cammino) fino al romitorio di S.
Francesco (m 1075), luogo di ritiro e preghiera ai piedi di una rupe";;immagini/conca_bustone.webp;Dettaglio;;;
Terminillo;3 ritorno;Paese;3;0. Rieti;;;;;Principale;42,402692;12,860917;mappe-offline/conca_reatina
Trasferimento;4;Percorso;;4.Trasferimento a Borgo Bainsizza;20-ago;;itinerari/3 tour-Rieti _BorgoBainsizza-immagini-0.jpg, itinerari/3 tour-Rieti _BorgoBainsizza-immagini-1.jpg;;Principale;;;
Trasferimento;4 partenza;Paese;4;0, Rieti;;;;;Principale;42,5261;12,8003;mappe-offline/Trasferimento
Trasferimento;4,1;Paese;4;1.Farfa;Borgo medievale;Il Borgo di Farfa è una frazione di Fara in Sabina, in provincia di Rieti. Il nome deriva dal fiume Farfa — il Farfarus di Ovidio, il Fabaris di Virgilio. È un villaggio cresciuto intorno alla sua celebre abbazia benedettina, con botteghe artigiane dal tipico architrave in legno che risalgono al 1480.;;immagini/trasf_farfa1.webp;Principale;42,222722;12,717972;mappe-offline/Trasferimento
Trasferimento;INF4,1;Info / Contatto;4,1;ABBAZIA;;📍 Indirizzo:Via del Monastero, 1<br>📞 Tel. 0765 277271 - 338 6077654<br>🕒 Orari:Tutti i giorniDalle 10:00 alle 13:00 e dalle 15:00 alle 17:00 <br>🕒 Visite guidate senza prenotazione Mattina 10:00 - 11:00 - 12:00 Pomeriggio (ora legale) 15:30 - 16:30<br>🌐 Sito web: https://www.abbaziadifarfa.it;;;Info / Contatto;;;
Trasferimento;4,1,1;Monumento;4,1;1_1Borgo;;"Caratteristico villaggio sorto presso la famosa abbazia, chiuso da mura si compone da basse costruzioni al cui piano terreno si aprono delle botteghe artigiane, dal tipico architrave in legno, che venivano date in affitto dai monaci nelle grandi fiere di aprile e settembre che richiamavano gente da tutta l’Italia centrale.
La planimetria è tipicamente medievale: al pian terreno troviamo la bottega artigiana con un’ampia apertura sulla strada mentre al piano superiore sono le stanze di abitazione, che fanno del borgo un luogo senza tempo.
Lo sviluppo successivo del borgo avviene sempre tangenzialmente alla strada principale, in parallelo rispetto al lato lungo del monastero.
Ogni strada prende il nome dalle merci che vi si custodivano. Unica contrapposizione a questo parallelismo è la strada perpendicolare, in corrispondenza dell’ingresso dell’abbazia, aperta per volontà di Alessandro Farnese nel 1572.
Nella visita del Borgo si possono acquistare prodotti artigianali quali biscotti, ceramiche e tessuti alcuni dei quali prodotti con un antico telaio del ‘600 ancora funzionante. Oltre a un Erboristeria di Monastica Officina che seleziona i migliori prodotti alimentari e di cosmetica dei Monasteri, dei Conventi e delle Abbazie d’Italia e d’Europa, creando speciali confezioni da acquistare direttamente.";;immagini/trasf_farfa.webp;Dettaglio;;;
Trasferimento;4,1,2;Monumento;4,1;1_2Abbazia;;"Sorta sul fianco della valle del Farfa (m 138), fu uno dei più potenti centri
monastici del medioevo, capace di allargare a lungo la sua influenza religiosa,
culturale, politica a vaste zone dell’Italia centrale. Fondata nel VI secolo in un sito
più prossimo all’attuale Fara in Sabina, ricostruita dov’è oggi nel 680 dalla
comunità benedettina di san Tommaso di Maurienne, Farfa raggiunse l’apice della
sua importanza nel IX e poi nel X secolo, dopo la cacciata dei saraceni che nell’898
se ne erano impossessati e ne avevano fatto la base delle loro scorrerie. Famoso
per la qualità dei codici che produceva fu lo scriptorium. Il declino iniziò nel XV
secolo, quando l’abbazia venne trasformata in commenda e affidata agli Orsini.
Divenuta esigua (nel 1769 la carica di abate fu attribuita al vescovo della Sabina),
la comunità monastica scomparve con l’Unità d’Italia e l’abbazia passò in mano
privata. Fu ricostituita nel 1919 col trasferimento di monaci dalla basilica di S.
Paolo fuori le Mura a Roma. Al complesso religioso si accede attraverso un
portale quattrocentesco, che immette nel cortile su cui prospetta la chiesa.";;immagini/trasf_farfa_abbazia.webp;Dettaglio;;;
